Match,Team 1,Team 2,Date,Time,Season
Match 4,Rajasthan Royals,Chennai Super Kings,2020-09-22,07:30 PM,2020
Match 5,Kolkata Knight Riders,Mumbai Indians,2020-09-23,07:30 PM,2020
Match 6,Punjab Kings,Royal Challengers Bangalore,2020-09-24,07:30 PM,2020
Match 7,Chennai Super Kings,Delhi Capitals,2020-09-25,07:30 PM,2020
Match 8,Kolkata Knight Riders,Sunrisers Hyderabad,2020-09-26,07:30 PM,2020
Match 9,Rajasthan Royals,Punjab Kings,2020-09-27,07:30 PM,2020
Match 10,Royal Challengers Bangalore,Mumbai Indians,2020-09-28,07:30 PM,2020
Match 11,Delhi Capitals,Sunrisers Hyderabad,2020-09-29,07:30 PM,2020
Match 12,Rajasthan Royals,Kolkata Knight Riders,2020-09-30,07:30 PM,2020
Match 13,Punjab Kings,Mumbai Indians,2020-10-01,07:30 PM,2020
Match 14,Chennai Super Kings,Sunrisers Hyderabad,2020-10-02,07:30 PM,2020
Match 15,Royal Challengers Bangalore,Rajasthan Royals,2020-10-03,03:30 PM,2020
Match 16,Delhi Capitals,Kolkata Knight Riders,2020-10-03,07:30 PM,2020
Match 17,Mumbai Indians,Sunrisers Hyderabad,2020-10-04,03:30 PM,2020
Match 18,Punjab Kings,Chennai Super Kings,2020-10-04,07:30 PM,2020
Match 19,Royal Challengers Bangalore,Delhi Capitals,2020-10-05,07:30 PM,2020
Match 20,Mumbai Indians,Rajasthan Royals,2020-10-06,07:30 PM,2020
Match 21,Kolkata Knight Riders,Chennai Super Kings,2020-10-07,07:30 PM,2020
Match 22,Sunrisers Hyderabad,Punjab Kings,2020-10-08,07:30 PM,2020
Match 23,Rajasthan Royals,Delhi Capitals,2020-10-09,07:30 PM,2020
Match 24,Punjab Kings,Kolkata Knight Riders,2020-10-10,03:30 PM,2020
Match 25,Chennai Super Kings,Royal Challengers Bangalore,2020-10-10,07:30 PM,2020
Match 26,Sunrisers Hyderabad,Rajasthan Royals,2020-10-11,03:30 PM,2020
Match 27,Mumbai Indians,Delhi Capitals,2020-10-11,07:30 PM,2020
Match 28,Royal Challengers Bangalore,Kolkata Knight Riders,2020-10-12,07:30 PM,2020
Match 29,Sunrisers Hyderabad,Chennai Super Kings,2020-10-13,07:30 PM,2020
Match 30,Delhi Capitals,Rajasthan Royals,2020-10-14,07:30 PM,2020
Match 31,Royal Challengers Bangalore,Punjab Kings,2020-10-15,07:30 PM,2020
Match 32,Mumbai Indians,Kolkata Knight Riders,2020-10-16,07:30 PM,2020
Match 33,Rajasthan Royals,Royal Challengers Bangalore,2020-10-17,03:30 PM,2020
Match 34,Delhi Capitals,Chennai Super Kings,2020-10-17,07:30 PM,2020
Match 35,Sunrisers Hyderabad,Kolkata Knight Riders,2020-10-18,03:30 PM,2020
Match 36,Mumbai Indians,Punjab Kings,2020-10-18,07:30 PM,2020
Match 37,Chennai Super Kings,Rajasthan Royals,2020-10-19,07:30 PM,2020
Match 38,Punjab Kings,Delhi Capitals,2020-10-20,07:30 PM,2020
Match 39,Kolkata Knight Riders,Royal Challengers Bangalore,2020-10-21,07:30 PM,2020
Match 40,Rajasthan Royals,Sunrisers Hyderabad,2020-10-22,07:30 PM,2020
Match 41,Chennai Super Kings,Mumbai Indians,2020-10-23,07:30 PM,2020
Match 42,Kolkata Knight Riders,Delhi Capitals,2020-10-24,03:30 PM,2020
Match 43,Punjab Kings,Sunrisers Hyderabad,2020-10-24,07:30 PM,2020
Match 44,Royal Challengers Bangalore,Chennai Super Kings,2020-10-25,03:30 PM,2020
Match 45,Rajasthan Royals,Mumbai Indians,2020-10-25,07:30 PM,2020
Match 46,Kolkata Knight Riders,Punjab Kings,2020-10-26,07:30 PM,2020
Match 47,Sunrisers Hyderabad,Delhi Capitals,2020-10-27,07:30 PM,2020
Match 48,Mumbai Indians,Royal Challengers Bangalore,2020-10-28,07:30 PM,2020
Match 49,Chennai Super Kings,Kolkata Knight Riders,2020-10-29,07:30 PM,2020
Match 50,Punjab Kings,Rajasthan Royals,2020-10-30,07:30 PM,2020
Match 51,Delhi Capitals,Mumbai Indians,2020-10-31,03:30 PM,2020
Match 52,Royal Challengers Bangalore,Sunrisers Hyderabad,2020-10-31,07:30 PM,2020
Match 53,Chennai Super Kings,Punjab Kings,2020-11-01,03:30 PM,2020
Match 54,Kolkata Knight Riders,Rajasthan Royals,2020-11-01,07:30 PM,2020
Match 55,Delhi Capitals,Royal Challengers Bangalore,2020-11-02,07:30 PM,2020
Match 56,Sunrisers Hyderabad,Mumbai Indians,2020-11-03,07:30 PM,2020
Match 57,Mumbai Indians,Delhi Capitals,2020-11-05,07:30 PM,2020
Match 58,Sunrisers Hyderabad,Royal Challengers Bangalore,2020-11-06,07:30 PM,2020
Match 59,Delhi Capitals,Sunrisers Hyderabad,2020-11-08,07:30 PM,2020
Final,Mumbai Indians,Delhi Capitals,2020-11-10,07:30 PM,2020
Match 1,Mumbai Indians,Royal Challengers Bangalore,2021-04-09,7:30 pm,2021
Match 2,Chennai Super Kings,Delhi Capitals,2021-04-10,7:30 pm,2021
Match 3,Sunrisers Hyderabad,Kolkata Knight Riders,2021-04-11,7:30 pm,2021
Match 4,Rajasthan Royals,Punjab Kings,2021-04-12,7:30 pm,2021
Match 5,Kolkata Knight Riders,Mumbai Indians,2021-04-13,7:30 pm,2021
Match 6,Sunrisers Hyderabad,Royal Challengers Bangalore,2021-04-14,7:30 pm,2021
Match 7,Rajasthan Royals,Delhi Capitals,2021-04-15,7:30 pm,2021
Match 8,Punjab Kings,Chennai Super Kings,2021-04-16,7:30 pm,2021
Match 9,Mumbai Indians,Sunrisers Hyderabad,2021-04-17,7:30 pm,2021
Match 10,Royal Challengers Bangalore,Kolkata Knight Riders,2021-04-18,3:30 pm,2021
Match 11,Delhi Capitals,Punjab Kings,2021-04-18,7:30 pm,2021
Match 12,Chennai Super Kings,Rajasthan Royals,2021-04-19,7:30 pm,2021
Match 13,Delhi Capitals,Mumbai Indians,2021-04-20,7:30 pm,2021
Match 14,Punjab Kings,Sunrisers Hyderabad,2021-04-21,3:30 pm,2021
Match 15,Kolkata Knight Riders,Chennai Super Kings,2021-04-21,7:30 pm,2021
Match 16,Royal Challengers Bangalore,Rajasthan Royals,2021-04-22,7:30 pm,2021
Match 17,Punjab Kings,Mumbai Indians,2021-04-23,7:30 pm,2021
Match 18,Rajasthan Royals,Kolkata Knight Riders,2021-04-24,7:30 pm,2021
Match 19,Chennai Super Kings,Royal Challengers Bangalore,2021-04-25,3:30 pm,2021
Match 20,Sunrisers Hyderabad,Delhi Capitals,2021-04-25,7:30 pm,2021
Match 21,Punjab Kings,Kolkata Knight Riders,2021-04-26,7:30 pm,2021
Match 22,Delhi Capitals,Royal Challengers Bangalore,2021-04-27,7:30 pm,2021
Match 23,Chennai Super Kings,Sunrisers Hyderabad,2021-04-28,7:30 pm,2021
Match 24,Mumbai Indians,Rajasthan Royals,2021-04-29,3:30 pm,2021
Match 25,Delhi Capitals,Kolkata Knight Riders,2021-04-29,7:30 pm,2021
Match 26,Punjab Kings,Royal Challengers Bangalore,2021-04-30,7:30 pm,2021
Match 27,Mumbai Indians,Chennai Super Kings,2021-05-01,7:30 pm,2021
Match 28,Rajasthan Royals,Sunrisers Hyderabad,2021-05-02,3:30 pm,2021
Match 29,Punjab Kings,Delhi Capitals,2021-05-02,7:30 pm,2021
Match 30,Chennai Super Kings,Mumbai Indians,2021-09-19,07:30 PM,2021
Match 31,Kolkata Knight Riders,Royal Challengers Bangalore,2021-09-20,07:30 PM,2021
Match 32,Punjab Kings,Rajasthan Royals,2021-09-21,07:30 PM,2021
Match 33,Delhi Capitals,Sunrisers Hyderabad,2021-09-22,07:30 PM,2021
Match 34,Mumbai Indians,Kolkata Knight Riders,2021-09-23,07:30 PM,2021
Match 35,Royal Challengers Bangalore,Chennai Super Kings,2021-09-24,07:30 PM,2021
Match 36,Delhi Capitals,Rajasthan Royals,2021-09-25,03:30 PM,2021
Match 37,Sunrisers Hyderabad,Punjab Kings,2021-09-25,07:30 PM,2021
Match 38,Chennai Super Kings,Kolkata Knight Riders,2021-09-26,03:30 PM,2021
Match 39,Royal Challengers Bangalore,Mumbai Indians,2021-09-26,07:30 PM,2021
Match 40,Sunrisers Hyderabad,Rajasthan Royals,2021-09-27,07:30 PM,2021
Match 41,Kolkata Knight Riders,Delhi Capitals,2021-09-28,03:30 PM,2021
Match 42,Mumbai Indians,Punjab Kings,2021-09-28,07:30 PM,2021
Match 43,Rajasthan Royals,Royal Challengers Bangalore,2021-09-29,07:30 PM,2021
Match 44,Sunrisers Hyderabad,Chennai Super Kings,2021-09-30,07:30 PM,2021
Match 45,Kolkata Knight Riders,Punjab Kings,2021-10-01,07:30 PM,2021
Match 46,Mumbai Indians,Delhi Capitals,2021-10-02,03:30 PM,2021
Match 47,Rajasthan Royals,Chennai Super Kings,2021-10-02,07:30 PM,2021
Match 48,Royal Challengers Bangalore,Punjab Kings,2021-10-03,03:30 PM,2021
Match 49,Kolkata Knight Riders,Sunrisers Hyderabad,2021-10-03,07:30 PM,2021
Match 50,Delhi Capitals,Chennai Super Kings,2021-10-04,07:30 PM,2021
Match 51,Rajasthan Royals,Mumbai Indians,2021-10-05,07:30 PM,2021
Match 52,Royal Challengers Bangalore,Sunrisers Hyderabad,2021-10-06,07:30 PM,2021
Match 53,Chennai Super Kings,Punjab Kings,2021-10-07,03:30 PM,2021
Match 54,Kolkata Knight Riders,Rajasthan Royals,2021-10-07,07:30 PM,2021
Match 56,Sunrisers Hyderabad,Mumbai Indians,2021-10-08,07:30 PM,2021
Match 55,Royal Challengers Bangalore,Delhi Capitals,2021-10-08,07:30 PM,2021
Match 57,Delhi Capitals,Chennai Super Kings,2021-10-10,07:30 PM,2021
Match 58,Royal Challengers Bangalore,Kolkata Knight Riders,2021-10-11,07:30 PM,2021
Match 59,Kolkata Knight Riders,Delhi Capitals,2021-10-13,07:30 PM,2021
Match 60,Chennai Super Kings,Kolkata Knight Riders,2021-10-15,07:30 PM,2021
Match 1,Chennai Super Kings,Kolkata Knight Riders,2022-03-26,7:30 pm,2022
Match 2,Delhi Capitals,Mumbai Indians,2022-03-27,3:30 pm,2022
Match 3,Royal Challengers Bangalore,Punjab Kings,2022-03-27,7:30 pm,2022
Match 4,Gujarat Titans,Lucknow Super Giants,2022-03-28,7:30 pm,2022
Match 5,Sunrisers Hyderabad,Rajasthan Royals,2022-03-29,7:30 pm,2022
Match 6,Royal Challengers Bangalore,Kolkata Knight Riders,2022-03-30,7:30 pm,2022
Match 7,Lucknow Super Giants,Chennai Super Kings,2022-03-31,7:30 pm,2022
Match 8,Kolkata Knight Riders,Punjab Kings,2022-04-01,7:30 pm,2022
Match 9,Mumbai Indians,Rajasthan Royals,2022-04-02,3:30 pm,2022
Match 10,Gujarat Titans,Delhi Capitals,2022-04-02,7:30 pm,2022
Match 11,Chennai Super Kings,Punjab Kings,2022-04-03,7:30 pm,2022
Match 12,Sunrisers Hyderabad,Lucknow Super Giants,2022-04-04,7:30 pm,2022
Match 13,Rajasthan Royals,Royal Challengers Bangalore,2022-04-05,7:30 pm,2022
Match 14,Kolkata Knight Riders,Mumbai Indians,2022-04-06,7:30 pm,2022
Match 15,Lucknow Super Giants,Delhi Capitals,2022-04-07,7:30 pm,2022
Match 16,Punjab Kings,Gujarat Titans,2022-04-08,7:30 pm,2022
Match 17,Chennai Super Kings,Sunrisers Hyderabad,2022-04-09,3:30 pm,2022
Match 18,Royal Challengers Bangalore,Mumbai Indians,2022-04-09,7:30 pm,2022
Match 19,Kolkata Knight Riders,Delhi Capitals,2022-04-10,3:30 pm,2022
Match 20,Rajasthan Royals,Lucknow Super Giants,2022-04-10,7:30 pm,2022
Match 21,Sunrisers Hyderabad,Gujarat Titans,2022-04-11,7:30 pm,2022
Match 22,Chennai Super Kings,Royal Challengers Bangalore,2022-04-12,7:30 pm,2022
Match 23,Mumbai Indians,Punjab Kings,2022-04-13,7:30 pm,2022
Match 24,Rajasthan Royals,Gujarat Titans,2022-04-14,7:30 pm,2022
